tanggal,pasar manis,pasar wage
2018-06-14,39648.18169498454,36931.95488080856
2018-06-15,39043.36977083072,35198.872794310766
2018-06-18,37500.0,35000.0
2018-06-19,37500.0,38000.0
2018-06-20,37500.0,38000.0
2018-06-21,38000.0,38000.0
2018-06-22,38000.0,37000.0
2018-06-25,37500.0,37000.0
2018-06-26,37500.0,34500.0
2018-06-27,38039.991040424175,33930.944048022524
2018-06-28,37500.0,34500.0
2018-06-29,35000.0,34500.0
2018-07-02,34500.0,34500.0
2018-07-03,34500.0,34500.0
2018-07-04,33000.0,32500.0
2018-07-05,33000.0,32500.0
2018-07-06,33000.0,32500.0
2018-07-09,30000.0,32500.0
2018-07-10,30000.0,36500.0
2018-07-11,31000.0,36500.0
2018-07-12,31000.0,31500.0
2018-07-13,31000.0,31500.0
2018-07-16,29000.0,29500.0
2018-07-17,30000.0,28000.0
2018-07-18,30000.0,28000.0
2018-07-19,29000.0,27000.0
2018-07-20,28000.0,27000.0
2018-07-23,28000.0,27000.0
2018-07-24,29000.0,27000.0
2018-07-25,28000.0,27000.0
2018-07-26,28000.0,27000.0
2018-07-27,28000.0,27000.0
2018-07-30,29000.0,29000.0
2018-07-31,30000.0,29000.0
2018-08-01,30000.0,29000.0
2018-08-02,30000.0,29000.0
2018-08-03,30000.0,29000.0
2018-08-06,28000.0,29000.0
2018-08-07,28000.0,29000.0
2018-08-08,29000.0,29000.0
2018-08-09,29000.0,29000.0
2018-08-10,29000.0,29000.0
2018-08-13,29000.0,27000.0
2018-08-14,29000.0,27000.0
2018-08-15,30000.0,28000.0
2018-08-16,30000.0,28000.0
2018-08-17,30000.0,28000.0
2018-08-20,29000.0,28000.0
2018-08-21,29000.0,28000.0
2018-08-22,29000.0,28000.0
2018-08-23,28000.0,28000.0
2018-08-24,28000.0,28000.0
2018-08-27,28000.0,27000.0
2018-08-28,28000.0,27000.0
2018-08-29,28000.0,27000.0
2018-08-30,28000.0,27000.0
2018-08-31,28000.0,27000.0
2018-09-03,28000.0,27000.0
2018-09-04,28000.0,24500.0
2018-09-05,28000.0,24500.0
2018-09-06,28000.0,24500.0
2018-09-07,26500.0,24500.0
2018-09-10,26500.0,23500.0
2018-09-11,26500.0,23500.0
2018-09-12,25500.0,23500.0
2018-09-13,25500.0,23500.0
2018-09-14,25500.0,23500.0
2018-09-17,25500.0,23500.0
2018-09-18,26500.0,23500.0
2018-09-19,26500.0,23500.0
2018-09-20,25500.0,22500.0
2018-09-21,25500.0,22500.0
2018-09-24,24000.0,22500.0
2018-09-25,24000.0,22500.0
2018-09-26,22000.0,22500.0
2018-09-27,22000.0,22500.0
2018-09-28,22000.0,22500.0
2018-10-01,21000.0,22500.0
2018-10-02,21000.0,22500.0
2018-10-03,21000.0,22500.0
2018-10-04,21000.0,22500.0
2018-10-05,21000.0,22500.0
2018-10-08,21000.0,22500.0
2018-10-09,23000.0,22500.0
2018-10-10,23000.0,22500.0
2018-10-11,22000.0,22500.0
2018-10-12,22000.0,22500.0
2018-10-15,25000.0,23500.0
2018-10-16,25000.0,23500.0
2018-10-17,24000.0,23500.0
2018-10-18,24000.0,23500.0
2018-10-19,24000.0,23500.0
2018-10-22,25000.0,27000.0
2018-10-23,25000.0,27000.0
2018-10-24,25000.0,27000.0
2018-10-25,25000.0,28000.0
2018-10-26,25000.0,28000.0
2018-10-29,24000.0,27000.0
2018-10-30,24000.0,27000.0
2018-10-31,24000.0,27000.0
2018-11-01,24000.0,27000.0
2018-11-02,26000.0,28000.0
2018-11-05,27000.0,27000.0
2018-11-06,27000.0,27000.0
2018-11-07,27000.0,27000.0
2018-11-08,27000.0,27000.0
2018-11-09,27000.0,27500.0
2018-11-12,28000.0,28000.0
2018-11-13,28000.0,28000.0
2018-11-14,28000.0,28000.0
2018-11-15,30000.0,28000.0
2018-11-16,30000.0,29000.0
2018-11-19,30000.0,28000.0
2018-11-20,30000.0,28000.0
2018-11-21,30000.0,28000.0
2018-11-22,30000.0,28000.0
2018-11-23,30000.0,29000.0
