tanggal,pasar manis,pasar wage
2018-04-16,35000.0,34000.0
2018-04-17,35000.0,34000.0
2018-04-18,35000.0,34000.0
2018-04-19,35500.0,35000.0
2018-04-20,35500.0,34000.0
2018-04-23,35500.0,34000.0
2018-04-24,35000.0,34000.0
2018-04-25,35000.0,34000.0
2018-04-26,35000.0,34000.0
2018-04-27,35000.0,34000.0
2018-04-30,35500.0,34000.0
2018-05-01,35500.0,34000.0
2018-05-02,35500.0,34000.0
2018-05-03,35500.0,34000.0
2018-05-04,35500.0,34000.0
2018-05-07,35500.0,35000.0
2018-05-08,36000.0,35500.0
2018-05-09,36500.0,35000.0
2018-05-10,36500.0,35000.0
2018-05-11,36500.0,35500.0
2018-05-14,35500.0,36000.0
2018-05-15,35500.0,36000.0
2018-05-16,37000.0,37000.0
2018-05-17,37000.0,37000.0
2018-05-18,37000.0,36000.0
2018-05-21,38000.0,37000.0
2018-05-22,38000.0,36000.0
2018-05-23,38500.0,36000.0
2018-05-24,38500.0,36000.0
2018-05-25,38500.0,36000.0
2018-05-28,36500.0,36000.0
2018-05-29,36500.0,36000.0
2018-05-30,36000.0,36000.0
2018-05-31,36000.0,36000.0
2018-06-01,36408.674015278295,35990.47439225848
2018-06-04,37500.0,36000.0
2018-06-05,37500.0,36000.0
2018-06-06,38000.0,36000.0
2018-06-07,37000.0,36500.0
2018-06-08,37000.0,36500.0
2018-06-11,41000.0,40000.0
2018-06-12,41500.0,41000.0
2018-06-13,43500.0,42500.0
2018-06-14,44968.07607494806,43754.00276161358
2018-06-15,45472.57349392339,44491.35061116455
2018-06-18,44500.0,43500.0
2018-06-19,44500.0,42500.0
2018-06-20,44500.0,42500.0
2018-06-21,42500.0,42000.0
2018-06-22,42500.0,42000.0
2018-06-25,39500.0,41000.0
2018-06-26,39500.0,40000.0
2018-06-27,39274.390782513336,39483.97864298202
2018-06-28,39500.0,39000.0
2018-06-29,40500.0,38000.0
2018-07-02,36500.0,35500.0
2018-07-03,36500.0,35500.0
2018-07-04,36500.0,36000.0
2018-07-05,37500.0,36500.0
2018-07-06,37000.0,36500.0
2018-07-09,37000.0,39000.0
2018-07-10,37000.0,39000.0
2018-07-11,37500.0,39000.0
2018-07-12,37500.0,39500.0
2018-07-13,38500.0,39500.0
2018-07-16,40000.0,39000.0
2018-07-17,40000.0,38000.0
2018-07-18,40000.0,38000.0
2018-07-19,40000.0,37500.0
2018-07-20,40000.0,37500.0
2018-07-23,45000.0,41000.0
2018-07-24,43500.0,41000.0
2018-07-25,42500.0,41000.0
2018-07-26,42000.0,42000.0
2018-07-27,42000.0,41000.0
2018-07-30,40000.0,40000.0
2018-07-31,40000.0,40000.0
2018-08-01,39000.0,39000.0
2018-08-02,39000.0,38000.0
2018-08-03,37500.0,37500.0
2018-08-06,37000.0,36000.0
2018-08-07,37000.0,36000.0
2018-08-08,36500.0,36000.0
2018-08-09,36000.0,36000.0
2018-08-10,37000.0,36000.0
2018-08-13,37500.0,36000.0
2018-08-14,37500.0,37000.0
2018-08-15,38000.0,37000.0
2018-08-16,38000.0,38000.0
2018-08-17,38500.0,37000.0
2018-08-20,37000.0,37000.0
2018-08-21,37000.0,35500.0
2018-08-22,37500.0,35500.0
2018-08-23,37500.0,35500.0
2018-08-24,37500.0,35000.0
2018-08-27,36500.0,35000.0
2018-08-28,36500.0,34500.0
2018-08-29,35500.0,34500.0
2018-08-30,35500.0,34500.0
2018-08-31,35000.0,34500.0
2018-09-03,34500.0,34000.0
2018-09-04,34500.0,34000.0
2018-09-05,35000.0,33000.0
2018-09-06,35000.0,34000.0
2018-09-07,35000.0,34750.0
2018-09-10,35000.0,34500.0
2018-09-11,35000.0,34500.0
2018-09-12,35000.0,34500.0
2018-09-13,35000.0,34000.0
2018-09-14,35000.0,35000.0
2018-09-17,34000.0,34000.0
2018-09-18,34000.0,33500.0
2018-09-19,34000.0,33500.0
2018-09-20,33500.0,33000.0
2018-09-21,33500.0,33000.0
2018-09-24,33500.0,33000.0
2018-09-25,33500.0,32500.0
2018-09-26,33000.0,32000.0
2018-09-27,33000.0,32000.0
2018-09-28,33000.0,32500.0
2018-10-01,34000.0,32500.0
2018-10-02,34000.0,34000.0
2018-10-03,34000.0,34500.0
2018-10-04,34000.0,35000.0
2018-10-05,34000.0,35000.0
2018-10-08,35000.0,35500.0
2018-10-09,35000.0,35000.0
2018-10-10,35000.0,35000.0
2018-10-11,35000.0,35000.0
2018-10-12,35000.0,35000.0
2018-10-15,35500.0,35000.0
2018-10-16,35500.0,35000.0
2018-10-17,35500.0,35000.0
2018-10-18,35500.0,35000.0
2018-10-19,35500.0,34500.0
2018-10-22,35000.0,35000.0
2018-10-23,35000.0,35000.0
2018-10-24,35000.0,34500.0
2018-10-25,35000.0,34500.0
2018-10-26,35000.0,34500.0
2018-10-29,35000.0,35000.0
2018-10-30,35000.0,35000.0
2018-10-31,35000.0,34500.0
2018-11-01,35000.0,34500.0
2018-11-02,34500.0,35000.0
2018-11-05,34500.0,34500.0
2018-11-06,34500.0,34500.0
2018-11-07,34500.0,35000.0
2018-11-08,34500.0,35000.0
2018-11-09,34500.0,35000.0
2018-11-12,34500.0,35000.0
2018-11-13,34500.0,35000.0
2018-11-14,34500.0,35000.0
2018-11-15,34500.0,35000.0
2018-11-16,34500.0,35500.0
2018-11-19,34500.0,35500.0
2018-11-20,34500.0,35000.0
2018-11-21,35500.0,35000.0
2018-11-22,35500.0,35000.0
2018-11-23,35500.0,35000.0
2018-11-26,35500.0,35000.0
2018-11-27,35500.0,35000.0
2018-11-28,36000.0,35000.0
2018-11-29,36000.0,35500.0
2018-11-30,36000.0,35500.0
2018-12-03,36000.0,35000.0
2018-12-04,36000.0,35000.0
2018-12-05,36000.0,35000.0
2018-12-06,36500.0,35000.0
2018-12-07,36500.0,35000.0
2018-12-10,36500.0,35000.0
2018-12-11,36500.0,35000.0
2018-12-12,36500.0,35000.0
2018-12-13,36500.0,35000.0
2018-12-14,36500.0,35500.0
2018-12-17,36500.0,36000.0
2018-12-18,36500.0,36000.0
2018-12-19,38000.0,37000.0
2018-12-20,38000.0,37000.0
2018-12-21,38500.0,38000.0
2018-12-24,41000.0,38000.0
2018-12-25,40000.0,40000.0
2018-12-26,40000.0,40000.0
2018-12-27,40000.0,40000.0
2018-12-28,40000.0,41000.0
2018-12-31,40000.0,41000.0
2019-01-01,40000.0,40000.0
2019-01-02,40000.0,40000.0
2019-01-03,40000.0,39000.0
2019-01-04,37500.0,38000.0
2019-01-07,37500.0,37000.0
2019-01-08,37500.0,36500.0
2019-01-09,35500.0,35000.0
2019-01-10,35500.0,35500.0
2019-01-11,35500.0,35000.0
2019-01-14,35000.0,35000.0
2019-01-15,35000.0,35000.0
2019-01-16,35000.0,35000.0
2019-01-17,34500.0,35000.0
2019-01-18,34500.0,35000.0
2019-01-21,34500.0,35000.0
2019-01-22,34500.0,35000.0
2019-01-23,34500.0,35000.0
2019-01-24,34500.0,35000.0
2019-01-25,34500.0,35000.0
2019-01-28,34500.0,35000.0
2019-01-29,34500.0,35000.0
2019-01-30,34500.0,35000.0
2019-01-31,34000.0,34500.0
2019-02-01,34000.0,35000.0
2019-02-04,34000.0,35000.0
2019-02-05,34000.0,35000.0
2019-02-06,34000.0,35000.0
2019-02-07,34000.0,35000.0
2019-02-08,34000.0,35000.0
2019-02-11,34000.0,35000.0
2019-02-12,34000.0,35000.0
2019-02-13,34000.0,35000.0
2019-02-14,34000.0,35000.0
2019-02-15,34000.0,35000.0
2019-02-18,34000.0,35000.0
2019-02-19,34000.0,35000.0
2019-02-20,34000.0,35000.0
2019-02-21,34000.0,35000.0
2019-02-22,34000.0,35000.0
2019-02-25,34000.0,35000.0
2019-02-26,34000.0,35000.0
2019-02-27,34000.0,34500.0
2019-02-28,34000.0,34500.0
2019-03-01,34000.0,34500.0
2019-03-04,34000.0,33500.0
2019-03-05,34000.0,33000.0
2019-03-06,34000.0,33000.0
2019-03-07,34027.779537097216,33031.94294448339
2019-03-08,34000.0,33000.0
2019-03-11,33500.0,32500.0
2019-03-12,33500.0,32500.0
2019-03-13,33500.0,34000.0
2019-03-14,33500.0,34000.0
2019-03-15,33500.0,35000.0
2019-03-18,33500.0,34500.0
2019-03-19,33500.0,34500.0
2019-03-20,33500.0,33500.0
2019-03-21,33500.0,33500.0
2019-03-22,33500.0,33500.0
2019-03-25,33500.0,33000.0
2019-03-26,33500.0,33000.0
2019-03-27,33500.0,33000.0
2019-03-28,33500.0,33000.0
2019-03-29,33500.0,32500.0
2019-04-01,33500.0,32500.0
2019-04-02,33000.0,32500.0
2019-04-03,32903.69147923309,32165.978477843255
2019-04-04,33000.0,32000.0
2019-04-05,33000.0,32500.0
2019-04-08,34000.0,35000.0
2019-04-09,34000.0,35000.0
2019-04-10,34000.0,35000.0
2019-04-11,34000.0,35000.0
2019-04-12,35000.0,35000.0
2019-04-15,35000.0,34500.0
2019-04-16,35000.0,34500.0
2019-04-17,35033.50470179242,34756.489671005314
2019-04-18,35000.0,35000.0
2019-04-19,34887.45796645685,35000.0
2019-04-22,34500.0,35000.0
2019-04-23,34500.0,35000.0
2019-04-24,34500.0,35000.0
2019-04-25,34500.0,35000.0
2019-04-26,35000.0,35000.0
2019-04-29,35000.0,35000.0
2019-04-30,35000.0,35000.0
2019-05-01,34902.91522728548,35020.7908123069
2019-05-02,35000.0,35000.0
2019-05-03,35500.0,35000.0
2019-05-06,36000.0,36000.0
2019-05-07,36000.0,35500.0
2019-05-08,36000.0,35500.0
2019-05-09,37000.0,34500.0
2019-05-10,37000.0,34500.0
2019-05-13,35000.0,33500.0
2019-05-14,35000.0,33500.0
2019-05-15,35000.0,33500.0
2019-05-16,35000.0,33500.0
2019-05-17,35000.0,33500.0
2019-05-20,35000.0,34000.0
2019-05-21,35000.0,34000.0
2019-05-22,35000.0,35000.0
2019-05-23,36000.0,35000.0
2019-05-24,36000.0,35500.0
2019-05-27,36500.0,37000.0
2019-05-28,36500.0,37500.0
2019-05-29,36500.0,37500.0
2019-05-30,36898.99318177338,37134.130447555224
2019-05-31,37500.0,37000.0
2019-06-03,38500.0,39000.0
2019-06-04,38500.0,39000.0
2019-06-05,38385.73179578244,39064.835828925105
2019-06-06,38199.94900649214,39252.65615448632
2019-06-07,37980.56803219894,39401.77185552905
2019-06-10,37500.0,38000.0
2019-06-11,37500.0,37000.0
2019-06-12,37500.0,37000.0
2019-06-13,37500.0,35000.0
2019-06-14,37500.0,35000.0
2019-06-17,33500.0,32500.0
2019-06-18,34000.0,32000.0
2019-06-19,33500.0,32000.0
2019-06-20,33500.0,32000.0
2019-06-21,33500.0,32000.0
2019-06-24,33500.0,30000.0
2019-06-25,33500.0,30000.0
2019-06-26,32500.0,31500.0
2019-06-27,32500.0,31500.0
2019-06-28,30500.0,31000.0
2019-07-01,33000.0,32500.0
2019-07-02,34500.0,32500.0
2019-07-03,34500.0,35500.0
2019-07-04,34500.0,35500.0
2019-07-05,34500.0,35500.0
2019-07-08,34500.0,34500.0
2019-07-09,34500.0,34500.0
2019-07-10,34500.0,34500.0
2019-07-11,34500.0,34500.0
2019-07-12,34500.0,34500.0
2019-07-15,37500.0,37000.0
2019-07-16,37500.0,37000.0
2019-07-17,37500.0,37500.0
2019-07-18,37000.0,37000.0
2019-07-19,37000.0,37000.0
2019-07-22,34500.0,35500.0
2019-07-23,34500.0,35500.0
2019-07-24,34500.0,35000.0
2019-07-25,34500.0,35000.0
2019-07-26,34500.0,35000.0
2019-07-29,34500.0,35000.0
2019-07-30,34500.0,35000.0
2019-07-31,34500.0,34000.0
2019-08-01,34500.0,34000.0
